text,label
فتح هندباعث سرافرازی نبود؛برای من دستگیری متجاوزین و سرسپردگانی مهم بود كه بیست سال كشورم راویران ساخته و جنایت و غارت را در حد كمال بر مردم سرزمینم روا داشتند.اگر در پی افتخار بودم پادشاهان اروپارا به بردگی میگرفتم كه آن هم از جوانمردی و خوی ایرانی من به دوربود. #نادر_شاه_افشار,neg
بدی توییتر تا اینجا که فهمیدم اینه خیلی ها تو تایم لاین من هستن که حتی از وجود من باخبر نیستن. و هر چی مینویسم نهایتا ۴۰ نفر میبینن که اونا هم انگار نه انگار. پس علی الحساب واسه دل خودم دارم می‌نویسم. ولی پشتکار همیشه جواب میده.,neg
والا همین بچه های صنعتی دقیقا یکسال پیش برای حرفای ابکی زیباکلام و رامین کلی کف و سوت زدن ....حالا دیگه این یذره تحلیل ابکی من که چیزی نیس :))))),pos
یه هشتک #جنگ_نمیشود_مذاکره_نمیکنیم هم میزدی دستمون واسه ریت نلرزه #انتقاد,neg
واقعا نمیتونم بفهممشون اینا الان حرفشون اینه ک با هشتگ زدن و توییت کردن انقلاب نمیشه و این کار ترسو هاس؟ خب لعنتی پس خودت چرا واسه مقاومت کردن و دفاع از رژیم میای هشتگ میزنی پ.ن:ما با هشتگ و پیام هامون فقط میخاییم بقیه رو آگاه و اتحادمون قوی تر بشع و به وقتش در خیابان هاییم,neg
واسه ما معمولیا شب یلدامون فرقی باشبای دیگه نداره #تنهایی,neg
"""گشنگان بدبخت افطاری نخورده رو ببینین. کسانی که به ملت پشت کردن. کسانی که به شعار """"رو به میهن پشت به دشمن"""" تف انداختن. #جمشید_مشایخی #فاطعه_ معتمد _آریا #لوریس_چکناواریان #امین_الله_رشیدی #علی_نصیریان https:// twitter.com/pouriazeraati/ status/1002097495336472577 …""",neg
مخاطبین @SalomeSeyednia کم سن وسال و کسانی که به اینترنت زیاد دسترسی ندادن.و فقط تلوزیون میبینند. #سالومه هم دور برداشته وخیال میکنه که میتونه همه جا هر جور که خواست با هر لحنی توییت کنه. #به_تو_چه که ظریف به چه زبانی توییت میکنه. #جنده,neg
"خدا منم، عید منم، حال خوب منم #کارنت_ مود",pos
تروريسم يعني ٣ ساعت بخوابي الانم بفهمي بايد تا لويزان رانندگي كني #سگ #ريد#توش,neg
شما دست کم شصت سال دیگه حی حاضر و سلامت و دلشاد خواهی بود ..,pos
گرمه خسته ام سرم درد میکنه استرس مزخرفی دارم محل کارم خیلی بیخود شده ولی هیچکدوم اصلا مهم نیس چون امروز ساعت نه صبح خواستگار داشتم و خوشحال شدم وای باورم نمیشه #خواستگار !!! نکنه خواب میبینم!! نه صبح! اصن بیا وسط قرها رو بریز!,pos
دروغ میگه باور نکنید اتفاقا اول ادا بوده بعد دستو پا در آورده #بیشعور,neg
"موگرینی بند نیم بند را آب داد،و شیخ احمد جنتی از اینکه احمدی نژاد را ردصلاحیت کرده و صندلی پاستور را به نیم بند نوشتگان سپرده است راضی و خشنود است .خدایا مرگم را برسان.علی برکت الله",neg
تو این اوضاع: دلمون #بارون که می تونه بخواد ؟! #شاکی,neg
